Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,relative_volume,fast_trend_run,structural_direction,slow_trend_run,breaking_gap,fast_swing_ratio,slow_swing_ratio,p_up,p_down
2020-12-08,34.04999923706055,34.15999984741211,33.68000030517578,33.970001220703125,20816200,0.0,0.0,0.004900359856975762,-0.4399986267089844,-1.0,-0.279998779296875,0.0,0.0,0.06479300323421361,0.9676034983828932,0.032396501617106804
2020-12-09,34.029998779296875,34.34000015258789,33.720001220703125,34.130001068115234,14858300,0.0,0.0,0.0035142801855937832,0.15999984741210938,1.0,0.15999984741210938,0.0,0.0,0.3265328365716577,0.16326641828582886,0.8367335817141711
2020-12-10,34.04999923706055,34.27000045776367,33.95000076293945,34.0,11029000,0.0,0.0,0.0025986393645866307,-0.13000106811523438,1.0,0.029998779296875,0.0,0.0,0.011478757730772372,0.5,0.5
2020-12-11,33.7599983215332,34.13999938964844,33.43000030517578,33.599998474121094,14827300,0.0,0.0,0.00345248890450482,-0.5300025939941406,-1.0,-0.40000152587890625,0.29000091552734375,0.29939376212701463,2.0,0.0,1.0
2020-12-14,33.93000030517578,34.2599983215332,33.41999816894531,33.45000076293945,8712900,0.0,0.0,0.0020197137435489032,-0.6800003051757812,-1.0,-0.5499992370605469,0.0,0.0,2.0,0.0,1.0
2020-12-15,33.81999969482422,34.970001220703125,33.75,34.66999816894531,16700400,0.0,0.0,0.00401246864023901,1.2199974060058594,1.0,1.2199974060058594,0.8300018310546875,0.46285001954367244,2.0,1.0,0.0
2020-12-16,34.7599983215332,35.650001525878906,34.58000183105469,35.130001068115234,13985100,0.0,0.0,0.0034046674465596227,1.6800003051757812,1.0,1.6800003051757812,0.0,0.0,2.0,1.0,0.0
2020-12-17,35.189998626708984,35.40999984741211,35.02000045776367,35.38999938964844,10502700,0.0,0.0,0.0025758019921080073,1.9399986267089844,1.0,1.9399986267089844,0.0,0.0,2.0,1.0,0.0
2020-12-18,35.54999923706055,36.130001068115234,35.310001373291016,35.45000076293945,23166400,0.0,0.0,0.005691225042056213,2.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0
2020-12-21,34.93000030517578,35.0,34.15999984741211,34.81999969482422,10484600,0.0,0.0,0.002529947962277521,-0.6300010681152344,-1.0,-0.6300010681152344,0.8600006103515625,1.863437999347757,0.09922533645658405,0.018668332097829476,0.9813316679021705
2020-12-22,34.790000915527344,34.939998626708984,34.189998626708984,34.36000061035156,9424000,0.0,0.0,0.002243982157852594,-1.0900001525878906,-1.0,-1.0900001525878906,0.0,0.0,0.2970250831604062,0.8514874584197969,0.1485125415802031
2020-12-23,34.5099983215332,34.90999984741211,34.36000061035156,34.369998931884766,7381100,0.0,0.0,0.001758051394671139,0.009998321533203125,-1.0,-1.0800018310546875,0.0,0.0,0.29160098877036944,0.5,0.5
2020-12-24,34.45000076293945,34.630001068115234,34.220001220703125,34.59000015258789,2608800,0.0,0.0,0.0006253487828416075,0.22999954223632812,-1.0,-0.8600006103515625,0.0,0.0,0.184900262451265,0.5,0.5
2020-12-28,34.7599983215332,35.06999969482422,34.70000076293945,34.91999816894531,4842000,0.0,0.0,0.001171736494516541,0.55999755859375,1.0,0.3299980163574219,0.15999984741210938,0.08163320914291443,0.1472397731568069,0.11443649114986065,0.8855635088501393
2020-12-29,35.20000076293945,35.72999954223633,35.08000183105469,35.5,8787200,0.0,0.0,0.0021617716815283644,1.1399993896484375,1.0,0.9099998474121094,0.0,0.0,1.1196573105302223,0.5598286552651112,0.44017134473488884
2020-12-30,35.5,35.72999954223633,35.380001068115234,35.54999923706055,6814000,0.0,0.0,0.0016786984295345956,1.1899986267089844,1.0,0.9599990844726562,0.0,0.0,1.2460748161880624,0.6230374080940312,0.3769625919059688
2020-12-31,35.599998474121094,36.0099983215332,35.369998931884766,35.95000076293945,6214500,0.0,0.0,0.001548232056739144,1.5900001525878906,1.0,1.3600006103515625,0.0,0.0,2.0,1.0,0.0
2021-01-04,36.08000183105469,36.099998474121094,35.029998779296875,35.27000045776367,14068700,0.0,0.0,0.0034386691575016386,-0.6800003051757812,1.0,0.6800003051757812,0.3500022888183594,0.26492537245607134,0.6252024860714199,0.7023737995411934,0.2976262004588066
2021-01-05,35.38999938964844,36.470001220703125,35.130001068115234,36.2400016784668,14812600,0.0,0.0,0.0037200644455647513,0.970001220703125,1.0,1.6500015258789062,0.23999786376953125,0.06121673891228201,2.0,1.0,0.0
